location_num,location_name,week,date ,sample_id,water_temp,ph,salinity ,sample_time,filter_time,precipitation,precipitation_prev24,air_high,air_low
1,Scottsmoore Landing,1,6/10/2019,IRL_01_1,26.3,8.18,28,551,1035,1.49,2.39,87.1,72
2,Titusville Pier,1,6/10/2019,IRL_01_2,26.85,8.05,26,629,1255,1.49,2.39,87.1,72
3,Beacon 42 Boat Ramp,1,6/10/2019,IRL_01_3,26.7,8,29,659,1345,1.49,2.39,87.1,72
1,Scottsmoore Landing,2,6/17/2019,IRL_02_1,31.14,8.07,20,1420,2000,0.03,0.28,86,75
2,Titusville Pier,2,6/17/2019,IRL_02_2,28.12,8.19,24,1425,2145,0.03,0.28,86,75
3,Beacon 42 Boat Ramp,2,6/17/2019,IRL_02_3,30.22,8.16,28,1455,2245,0.03,0.28,86,75
1,Scottsmoore Landing,3,6/24/2019,IRL_03_1,29,7.99,26,830,1445,0.26,0,91.9,73
2,Titusville Pier,3,6/24/2019,IRL_03_2,28.76,8.07,25,915,1445,0.26,0,91.9,73
3,Beacon 42 Boat Ramp,3,6/24/2019,IRL_03_3,29.05,8,30,950,1600,0.26,0,91.9,73
1,Scottsmoore Landing,4,7/1/2019,IRL_04_1,32.87,7.99,22,1320,2030,0.6,0,89.1,75
2,Titusville Pier,4,7/1/2019,IRL_04_2,29.86,8.1,24,1350,2030,0.6,0,89.1,75
3,Beacon 42 Boat Ramp,4,7/1/2019,IRL_04_3,31.12,8.14,28,1415,2145,0.6,0,89.1,75
1,Scottsmoore Landing,5,7/8/2019,IRL_05_1,29.04,7.77,26,1305,1755,0.4,0.59,,
2,Titusville Pier,5,7/8/2019,IRL_05_2,28.55,8.06,25,1340,1755,0.4,0.59,,
3,Beacon 42 Boat Ramp,5,7/8/2019,IRL_05_3,30.63,8.03,30,1403,1840,0.4,0.59,,
1,Scottsmoore Landing,6,7/15/2019,IRL_06_1,35.3,8.31,18,1430,1955,0,0,,
2,Titusville Pier,6,7/15/2019,IRL_06_2,31.01,8.23,24,1500,1955,0,0,,
3,Beacon 42 Boat Ramp,6,7/15/2019,IRL_06_3,33.67,8.15,27,1530,2030,0,0,,
1,Scottsmoore Landing,7,7/22/2019,IRL_07_1,32.58,7.99,20,1230,1720,0,0,,
2,Titusville Pier,7,7/22/2019,IRL_07_2,32.01,7.94,25,1305,1720,0,0,,
3,Beacon 42 Boat Ramp,7,7/22/2019,IRL_07_3,31.23,7.97,30,1330,1820,0,0,,
1,Scottsmoore Landing,8,7/29/2019,IRL_08_1,30.35,7.61,21,600,1137,0,0,,
2,Titusville Pier,8,7/29/2019,IRL_08_2,29.23,8.04,26,630,1137,0,0,,
3,Beacon 42 Boat Ramp,8,7/29/2019,IRL_08_3,28.9,7.88,27,730,1215,0,0,,
