sample_id,sample_date,raw_y,raw_g,raw_total,pab_y,pab_g,pab_total,flb_y,flb_g,flb_total
IRL_01_1A,6/10/2019,2900,1133,4033,1833,720,2553,103,120,223
IRL_01_1B,6/10/2019,1097,950,2047,1607,700,2307,40,77,117
IRL_01_1C,6/10/2019,317,487,804,222,263,485,17,37,54
IRL_01_2A,6/10/2019,793,227,1020,1308,182,1490,290,127,417
IRL_01_2B,6/10/2019,243,97,340,NA,NA,4106.3,273,160,433
IRL_01_2C,6/10/2019,230,140,370,827,393,1220,297,173,470
IRL_01_3A,6/10/2019,170,420,590,115,317,432,NA,NA,NA
IRL_01_3B,6/10/2019,433,817,1250,217,352,569,77,87,164
IRL_01_3C,6/10/2019,250,463,713,NA,NA,NA,83,103,186
IRL_02_1A,6/17/2019,270,430,700,0,0,2.5,3,0,3
IRL_02_1B,6/17/2019,165,225,390,1,0,1,0,0,2.5
IRL_02_1C,6/17/2019,490,510,1000,2,0,2,0,3,3
IRL_02_2A,6/17/2019,NA,NA,18773.7,683,165,848,130,50,180
IRL_02_2B,6/17/2019,NA,NA,18773.7,NA,NA,4106.3,1840,333,2173
IRL_02_2C,6/17/2019,NA,NA,18773.7,525,135,660,973,187,1160
IRL_02_3A,6/17/2019,853,360,1213,5,0,5,0,0,2.5
IRL_02_3B,6/17/2019,1595,185,1780,3,0,3,0,0,2.5
IRL_02_3C,6/17/2019,900,145,1045,35,0,35,0,0,2.5
IRL_03_1A,6/24/2019,0,67,67,27,65,92,77,147,224
IRL_03_1B,6/24/2019,33,267,300,17,107,124,17,93,110
IRL_03_1C,6/24/2019,67,217,284,13,27,40,7,57,64
IRL_03_2A,6/24/2019,8700,5033,13733,NA,NA,4106.3,2080,1813,3893
IRL_03_2B,6/24/2019,6267,10800,17067,NA,NA,4106.3,1095,3460,4555
IRL_03_2C,6/24/2019,8333,6000,14333,1747,387,2134,1760,3707,5467
IRL_03_3A,6/24/2019,317,350,667,307,78,385,133,63,196
IRL_03_3B,6/24/2019,250,117,367,153,47,200,107,67,174
IRL_03_3C,6/24/2019,267,267,534,120,27,147,97,87,184
IRL_04_1A,7/1/2019,100,183,283,8,42,50,17,33,50
IRL_04_1B,7/1/2019,67,250,317,83,42,125,50,50,100
IRL_04_1C,7/1/2019,83,200,283,92,50,142,67,50,117
IRL_04_2A,7/1/2019,417,217,634,267,92,359,133,100,233
IRL_04_2B,7/1/2019,233,267,500,283,67,350,183,150,333
IRL_04_2C,7/1/2019,333,67,400,292,67,359,183,67,250
IRL_04_3A,7/1/2019,717,100,817,208,108,316,283,133,416
IRL_04_3B,7/1/2019,550,183,733,233,67,300,250,33,283
IRL_04_3C,7/1/2019,450,283,733,533,200,733,483,67,550
IRL_05_1A,7/8/2019,267,300,567,125,200,325,0,0,2.5
IRL_05_1B,7/8/2019,217,433,650,42,167,209,0,0,2.5
IRL_05_1C,7/8/2019,217,533,750,167,225,392,0,0,2.5
IRL_05_2A,7/8/2019,0,0,0,33,8,41,0,0,2.5
IRL_05_2B,7/8/2019,117,117,234,0,17,17,0,0,2.5
IRL_05_2C,7/8/2019,1167,600,1767,242,183,425,0,0,2.5
IRL_05_3A,7/8/2019,1017,317,1334,492,100,592,0,0,2.5
IRL_05_3B,7/8/2019,1083,700,1783,358,117,475,0,0,2.5
IRL_05_3C,7/8/2019,600,200,800,408,92,500,0,0,2.5
IRL_06_1A,7/15/2019,17,33,50,38,33,71,117,33,150
IRL_06_1B,7/15/2019,367,483,850,18,400,418,800,1283,2083
IRL_06_1C,7/15/2019,967,283,1250,28,17,45,333,67,400
IRL_06_2A,7/15/2019,817,850,1667,24,217,241,483,1200,1683
IRL_06_2B,7/15/2019,1917,3050,4967,100,200,300,1200,2450,3650
IRL_06_2C,7/15/2019,1333,500,1833,42,442,484,800,1317,2117
IRL_06_3A,7/15/2019,450,267,717,7,58,65,33,83,116
IRL_06_3B,7/15/2019,250,67,317,13,33,46,17,17,34
IRL_06_3C,7/15/2019,233,200,433,12,92,104,33,17,50
IRL_07_1A,7/22/2019,1067,1617,2684,458,533,991,837,780,1617
IRL_07_1B,7/22/2019,433,433,866,108,183,291,190,360,550
IRL_07_1C,7/22/2019,117,350,467,233,42,275,167,140,307
IRL_07_2A,7/22/2019,2633,1083,3716,3333,400,3733,1533,547,2080
IRL_07_2B,7/22/2019,600,300,900,300,125,425,400,160,560
IRL_07_2C,7/22/2019,11300,1500,12800,2933,800,3733,NA,NA,NA
IRL_07_3A,7/22/2019,3000,367,3367,700,267,967,447,133,580
IRL_07_3B,7/22/2019,1100,383,1483,550,192,742,577,153,730
IRL_07_3C,7/22/2019,883,517,1400,267,142,409,817,80,897
IRL_08_1A,7/29/2019,267,100,367,183,92,275,577,457,1034
IRL_08_1B,7/29/2019,1000,1067,2067,NA,NA,NA,NA,NA,NA
IRL_08_1C,7/29/2019,350,650,1000,NA,NA,NA,NA,NA,NA
IRL_08_2A,7/29/2019,9267,2200,11467,633,267,900,3360,660,4020
IRL_08_2B,7/29/2019,1817,1450,3267,NA,NA,NA,NA,NA,NA
IRL_08_2C,7/29/2019,1617,1050,2667,NA,NA,NA,NA,NA,NA
IRL_08_3A,7/29/2019,183,850,1033,17,208,225,77,223,300
IRL_08_3B,7/29/2019,133,483,616,NA,NA,NA,NA,NA,NA
IRL_08_3C,7/29/2019,100,567,667,NA,NA,NA,NA,NA,NA
