Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
6/5/2019,12:00:00,156,0.047744,0.090694,0.116331,-999,-999,0.171877,-999,-999,-999,-999,-999,-999,-999,-999,0.274649,-999,-999,0.323982,-999,-999,0.39049,0.42364,4.028282,-999,-999,-999,-999,-999,-999,-999,1.519384,1.278029,1.497391,1.55893,1.050407,-999,65,65,65,0,0,65,0,0,0,0,0,0,0,0,65,0,0,65,0,0,65,65,65,0,0,0,0,0,0,0,65,65,65,65,65,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
6/6/2019,12:00:00,157,0.034089,0.060061,0.073201,-999,-999,0.100504,-999,-999,-999,-999,-999,-999,-999,-999,0.157835,-999,-999,0.18588,-999,-999,0.228954,0.247742,4.146218,-999,-999,-999,-999,-999,-999,-999,1.387273,1.35134,1.449622,1.394071,1.127991,-999,72,72,72,0,0,72,0,0,0,0,0,0,0,0,72,0,0,72,0,0,72,72,72,0,0,0,0,0,0,0,72,72,72,72,72,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
6/8/2019,12:00:00,159,0.048704,0.070645,0.083663,-999,-999,0.113931,-999,-999,-999,-999,-999,-999,-999,-999,0.180647,-999,-999,0.214451,-999,-999,0.261493,0.292502,4.361551,-999,-999,-999,-999,-999,-999,-999,1.414324,1.345467,1.496769,1.412004,1.21129,-999,4,4,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,4,4,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
6/10/2019,12:00:00,161,0.055557,0.077044,0.081946,-999,-999,0.086596,-999,-999,-999,-999,-999,-999,-999,-999,0.105295,-999,-999,0.112208,-999,-999,0.133592,0.135345,4.570737,-999,-999,-999,-999,-999,-999,-999,0.506285,0.874367,0.637762,0.484392,0.76903,-999,17,17,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,17,17,0,0,0,0,0,0,0,17,17,17,17,17,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
6/11/2019,12:00:00,162,0.131242,0.159244,0.16674,-999,-999,0.176128,-999,-999,-999,-999,-999,-999,-999,-999,0.202417,-999,-999,0.215405,-999,-999,0.242891,0.24798,4.233276,-999,-999,-999,-999,-999,-999,-999,0.386861,0.667754,0.472303,0.357703,0.558027,-999,47,47,47,0,0,47,0,0,0,0,0,0,0,0,47,0,0,47,0,0,47,47,47,0,0,0,0,0,0,0,47,47,47,47,47,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
6/12/2019,12:00:00,163,0.065954,0.094427,0.1048,-999,-999,0.124656,-999,-999,-999,-999,-999,-999,-999,-999,0.169917,-999,-999,0.192505,-999,-999,0.229232,0.247617,4.150227,-999,-999,-999,-999,-999,-999,-999,0.903301,1.090092,1.015217,0.874728,0.985238,-999,57,57,57,0,0,57,0,0,0,0,0,0,0,0,57,0,0,57,0,0,57,57,57,0,0,0,0,0,0,0,57,57,57,57,57,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
6/14/2019,12:00:00,165,0.014111,-999,0.039517,-999,-999,0.049566,-999,-999,-999,-999,-999,-999,-999,-999,0.075754,-999,-999,0.086155,-999,-999,0.104902,0.115237,4.366513,-999,-999,-999,-999,-999,-999,-999,1.18068,1.185051,1.31331,1.183571,1.137431,-999,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
6/15/2019,12:00:00,166,0.026116,0.041748,0.047695,-999,-999,0.056148,-999,-999,-999,-999,-999,-999,-999,-999,0.078041,-999,-999,0.087179,-999,-999,0.109266,0.110618,4.11347,-999,-999,-999,-999,-999,-999,-999,0.917745,1.227585,1.04506,0.903844,0.95262,-999,47,47,47,0,0,47,0,0,0,0,0,0,0,0,47,0,0,47,0,0,47,47,47,0,0,0,0,0,0,0,47,47,47,47,47,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
6/16/2019,12:00:00,167,0.029416,0.042725,0.047635,-999,-999,0.055546,-999,-999,-999,-999,-999,-999,-999,-999,0.077647,-999,-999,0.08676,-999,-999,0.106804,0.111055,4.111314,-999,-999,-999,-999,-999,-999,-999,0.910503,1.176646,1.058634,0.891392,0.984231,-999,20,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
6/18/2019,12:00:00,169,0.04142,0.060746,0.068215,-999,-999,0.083226,-999,-999,-999,-999,-999,-999,-999,-999,0.119469,-999,-999,0.134189,-999,-999,0.162304,0.172504,4.963862,-999,-999,-999,-999,-999,-999,-999,1.026432,1.128337,1.138557,1.02424,0.996224,-999,21,21,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21,21,21,0,0,0,0,0,0,0,21,21,21,21,21,0,lev15,329,NASA_KSC,28.463763,-80.663476,1.2
