Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
6/5/2019,12:00:00,156,-999,0.061581,-999,0.073564,-999,-999,0.097953,0.104078,0.120359,-999,-999,-999,-999,0.146042,-999,0.149179,0.173484,-999,0.189185,-999,-999,-999,4.223648,0.093596,0.09423,-999,-999,-999,-999,-999,-999,-999,1.478397,-999,-999,-999,0,80,0,80,0,0,80,80,80,0,0,0,0,80,0,80,80,0,80,0,0,0,80,80,80,0,0,0,0,0,0,0,80,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/6/2019,12:00:00,157,-999,0.042372,-999,0.051035,-999,-999,0.06683,0.069719,0.081274,-999,-999,-999,-999,0.102447,-999,0.103217,0.121546,-999,0.132565,-999,-999,-999,4.200501,0.06341,0.066184,-999,-999,-999,-999,-999,-999,-999,1.574692,-999,-999,-999,0,111,0,111,0,0,111,111,111,0,0,0,0,111,0,111,111,0,111,0,0,0,111,111,111,0,0,0,0,0,0,0,111,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/8/2019,12:00:00,159,-999,0.076346,-999,0.099556,-999,-999,0.15173,0.167167,0.198693,-999,-999,-999,-999,0.240397,-999,0.250578,0.293837,-999,0.32298,-999,-999,-999,4.676159,0.143994,0.139434,-999,-999,-999,-999,-999,-999,-999,1.680831,-999,-999,-999,0,56,0,56,0,0,56,56,56,0,0,0,0,56,0,56,56,0,56,0,0,0,56,56,56,0,0,0,0,0,0,0,56,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/9/2019,12:00:00,160,-999,0.086868,-999,0.095914,-999,-999,0.111675,0.113953,0.125259,-999,-999,-999,-999,0.146756,-999,0.146521,0.165109,-999,0.176594,-999,-999,-999,5.066772,0.108056,0.11061,-999,-999,-999,-999,-999,-999,-999,1.016012,-999,-999,-999,0,23,0,23,0,0,23,23,23,0,0,0,0,23,0,23,23,0,23,0,0,0,23,23,23,0,0,0,0,0,0,0,23,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/11/2019,12:00:00,162,-999,0.130432,-999,0.139581,-999,-999,0.152622,0.154142,0.162876,-999,-999,-999,-999,0.180729,-999,0.18028,0.194779,-999,0.203093,-999,-999,-999,4.257873,0.149116,0.15214,-999,-999,-999,-999,-999,-999,-999,0.645721,-999,-999,-999,0,85,0,85,0,0,85,85,85,0,0,0,0,85,0,85,85,0,85,0,0,0,85,85,85,0,0,0,0,0,0,0,85,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/12/2019,12:00:00,163,-999,0.07226,-999,0.080906,-999,-999,0.093889,0.095835,0.105062,-999,-999,-999,-999,0.123312,-999,0.123155,0.138496,-999,0.147486,-999,-999,-999,4.153612,0.090624,0.093528,-999,-999,-999,-999,-999,-999,-999,1.030273,-999,-999,-999,0,105,0,105,0,0,105,105,105,0,0,0,0,105,0,105,105,0,105,0,0,0,105,105,105,0,0,0,0,0,0,0,105,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/13/2019,12:00:00,164,-999,0.059506,-999,0.06551,-999,-999,0.075486,0.076678,0.083938,-999,-999,-999,-999,0.099992,-999,0.099008,0.111761,-999,0.118924,-999,-999,-999,4.347034,0.072409,0.075663,-999,-999,-999,-999,-999,-999,-999,1.068108,-999,-999,-999,0,52,0,52,0,0,52,52,52,0,0,0,0,52,0,52,52,0,52,0,0,0,52,52,52,0,0,0,0,0,0,0,52,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/14/2019,12:00:00,165,-999,0.03177,-999,0.038784,-999,-999,0.047954,0.047623,0.055329,-999,-999,-999,-999,0.073935,-999,0.072299,0.085417,-999,0.09082,-999,-999,-999,4.642943,0.045812,0.05005,-999,-999,-999,-999,-999,-999,-999,1.603695,-999,-999,-999,0,10,0,10,0,0,10,10,10,0,0,0,0,10,0,10,10,0,10,0,0,0,10,10,10,0,0,0,0,0,0,0,10,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/15/2019,12:00:00,166,-999,0.060076,-999,0.065996,-999,-999,0.074532,0.074774,0.082278,-999,-999,-999,-999,0.099826,-999,0.097859,0.111489,-999,0.114306,-999,-999,-999,4.64371,0.068624,0.075504,-999,-999,-999,-999,-999,-999,-999,1.217448,-999,-999,-999,0,25,0,25,0,0,25,25,25,0,0,0,0,25,0,25,25,0,24,0,0,0,25,24,25,0,0,0,0,0,0,0,25,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
6/18/2019,12:00:00,169,-999,0.05991,-999,0.068012,-999,-999,0.08085,0.081945,0.091569,-999,-999,-999,-999,0.111529,-999,0.109537,0.125603,-999,0.134336,-999,-999,-999,5.143018,0.077289,0.081396,-999,-999,-999,-999,-999,-999,-999,1.167939,-999,-999,-999,0,30,0,30,0,0,30,30,30,0,0,0,0,30,0,30,30,0,30,0,0,0,30,30,30,0,0,0,0,0,0,0,30,0,0,0,lev15,1015,Lake_Okeechobee,26.9017,-80.7892,9
