location_num,location_name,week,date ,sample_id,water_temp,ph,salinity 
1,Snug Harbor,1,6/5/2019,SLE_01_1,27.76,7.86,29
2,Stuart Boardwalk,1,6/5/2019,SLE_01_2,28.8,7.97,20
3,Leighton Park,1,6/5/2019,SLE_01_3,28.98,8.09,14
1,Snug Harbor,2,6/12/2019,SLE_02_1,30.48,7.72,21
2,Stuart Boardwalk,2,6/12/2019,SLE_02_2,29.04,8.1,15
3,Leighton Park,2,6/12/2019,SLE_02_3,32,8.08,12
1,Snug Harbor,3,6/19/2019,SLE_03_1,29.24,7.76,20
2,Stuart Boardwalk,3,6/19/2019,SLE_03_2,28.5,8.35,15
3,Leighton Park,3,6/19/2019,SLE_03_3,29.1,8.37,10
1,Snug Harbor,4,6/26/2019,SLE_04_1,31.7,7.74,24
2,Stuart Boardwalk,4,6/26/2019,SLE_04_2,31.4,8.03,15
3,Leighton Park,4,6/26/2019,SLE_04_3,33.43,8.16,11
1,Snug Harbor,5,7/3/2019,SLE_05_1,28.65,8.04,29
2,Stuart Boardwalk,5,7/3/2019,SLE_05_2,30.2,7.07,20
3,Leighton Park,5,7/3/2019,SLE_05_3,30.77,8.02,15
1,Snug Harbor,7,7/17/2019,SLE_07_1,28.87,7.83,30
2,Stuart Boardwalk,7,7/17/2019,SLE_07_2,30.69,7.93,20
3,Leighton Park,7,7/17/2019,SLE_07_3,31.37,7.97,14
1,Snug Harbor,8,7/24/2019,SLE_08_1,29.76,7.17,24
2,Stuart Boardwalk,8,7/24/2019,SLE_08_2,29.35,7.72,16
3,Leighton Park,8,7/24/2019,SLE_08_3,30.74,7.84,10
1,Snug Harbor,9,7/31/2019,SLE_09_1,29.1,7.61,34
2,Stuart Boardwalk,9,7/31/2019,SLE_09_2,30.21,7.37,23
3,Leighton Park,9,7/31/2019,SLE_09_3,30.45,7.78,16
